종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
호전실업,14350,0,0,500,1148,8000,4.48,135735,-10.27,-14.99
KODEX 단기변동금리부채권액티브,102765,15,0.01,0,1142,1111,0,203,NA,NA
영화금속,2135,120,-5.32,500,1140,53395,0.52,2504639,-12.34,-12.53
TIGER 차이나CSI300레버리지(합성),30700,80,0.26,0,1136,3700,0.07,47716,NA,NA
영흥,1120,5,-0.44,500,1135,101310,0.72,433459,-4.89,-12.89
티웨이홀딩스,1455,45,-3,500,1127,77457,1.17,1155023,-1.53,-71.98
남성,3110,0,0,500,1126,36212,0.94,127355,-9.69,-19.75
TIGER 여행레저,5855,5,-0.09,0,1122,19170,0.92,1454213,NA,NA
퍼스텍,2335,5,0.21,500,1122,48061,2.57,176148,10.57,19.81
엔에이치스팩19호,2185,5,0.23,100,1121,51290,2.52,98507,NA,NA
화승알앤에이,5900,50,-0.84,500,1121,18994,1.43,50239,NA,NA
휴니드,7930,280,-3.41,5000,1119,14116,23.09,218950,7.26,4.86
방림,2630,10,-0.38,500,1113,42314,1.76,193448,12.06,2.62
지투알,6710,160,2.44,1000,1112,16567,32.55,39627,7.7,6.27
인터지스,3705,85,-2.24,500,1102,29748,1.77,244365,7.59,2.81
SH에너지화학,987,12,-1.2,500,1097,111134,33.71,1381948,-82.25,-7.29
대창단조,7670,70,-0.9,1000,1096,14286,9.08,29373,6.2,7.2
ARIRANG 코스피TR,15750,20,-0.13,0,1095,6950,0.02,22,NA,NA
신영와코루,121500,0,0,5000,1094,900,26.38,234,38.66,0.93
텔코웨어,11200,0,0,500,1087,9703,1.31,6635,248.89,1.69
한국ANKOR유전,1550,0,0,0,1085,70020,0.04,34462,NA,NA
삼영화학,3180,20,0.63,500,1081,34000,2.81,265978,227.14,0.49
두산2우B,120500,3000,-2.43,5000,1076,893,0.46,2721,-197.22,NA
세하,1860,0,0,1000,1071,57563,0.74,297532,7.98,21.14
SG글로벌,2380,30,-1.24,500,1070,44964,5.14,173473,-54.09,-1.79
한국수출포장,26650,100,-0.37,5000,1066,4000,6.03,6214,7.66,3.34
KINDEX 미국WideMoat가치주,17755,180,1.02,0,1065,6000,0,65313,NA,NA
조광페인트,8230,130,1.6,500,1053,12800,1.54,49726,-242.06,2.38
KODEX Fn성장,18155,15,0.08,0,1053,5800,0,1031,NA,NA
이지스레지던스리츠,5110,10,0.2,1000,1053,20600,0.18,37878,NA,NA
케이비아이동국실업,1205,30,-2.43,500,1051,87218,0.41,1429831,13.85,-6.83
동방아그로,7580,90,1.2,500,1032,13618,30.61,26832,13.32,4.84
TIGER 200 건설,3325,70,-2.06,0,1031,31020,0.14,950243,NA,NA
비케이탑스,6700,110,-1.62,500,1012,15097,0.38,157539,-1.55,NA
미래에셋맵스리츠,5010,10,0.2,1000,1007,20100,0.04,52289,NA,NA
KODEX 국고채3년,57860,45,-0.08,0,1007,1740,0.01,1455,NA,NA
사조오양,10650,150,-1.39,5000,1004,9423,2.61,26195,5.55,10.48
MH에탄올,13600,700,-4.9,500,1003,7379,0.89,285220,10.65,11.49
덕양산업,3080,30,0.98,500,1003,32565,0.8,102350,102.67,-12.7
TIGER 경기방어,12170,130,-1.06,0,1003,8240,0,12225,NA,NA
KR모터스,1035,20,-1.9,500,995,96137,46.08,302449,-9.67,-29.64
TIGER 부동산인프라고배당,5910,10,0.17,0,993,16800,0.22,98343,NA,NA
천일고속,69400,200,-0.29,5000,992,1429,0.31,437,17350,-15.21
유니온,6320,40,-0.63,500,987,15612,0.72,85753,2.55,12.93
인디에프,1670,215,14.78,500,984,58933,0.9,8472863,-3.65,-41.73
KODEX 배당가치,13465,0,0,0,983,7300,0,288896,NA,NA
TIGER KRX바이오K-뉴딜,10320,30,-0.29,0,970,9400,0.88,189104,NA,NA
우진플라임,4820,120,2.55,500,964,20000,2.07,64283,7.94,13.7
비비안,3235,20,0.62,500,964,29794,0.79,211451,-3.39,-54
KODEX 은선물(H),4660,20,0.43,0,960,20600,0,259338,NA,NA
우성사료,31050,150,-0.48,5000,959,3090,3.31,9678,13.42,3.29
KODEX 미국달러선물,10415,5,0.05,0,954,9160,0,580679,NA,NA
한일철강,3570,65,1.85,500,953,26697,3.91,132576,5.97,-3.3
대신 2X 니켈선물 ETN(H),18970,5,-0.03,0,948,5000,0,3248,NA,NA
삼화왕관,44000,150,0.34,5000,948,2154,6.92,955,70.06,1.03
사조씨푸드,5450,20,0.37,1000,938,17219,1.5,37833,8.07,3.78
TIGER 차이나바이오테크SOLACTIVE,11755,105,0.9,0,936,7960,2.17,49747,NA,NA
문배철강,4560,15,-0.33,500,935,20504,1.21,148069,4.34,7.48
KOSEF 통안채1년,101255,5,0,0,932,920,0.02,47110,NA,NA
모나미,4915,25,-0.51,1000,929,18897,1.95,91613,23.18,0.09
한국프랜지,3040,50,1.67,1000,926,30450,4.14,108691,4.08,5.24
국보,1515,5,0.33,500,925,61066,0.78,2642405,-5.85,-67.86
엔케이,1155,20,1.76,500,924,79983,3.41,259966,144.38,-0.03
다스코,5640,140,-2.42,500,919,16300,2.56,94187,-7.05,-6.54
ARIRANG ESG가치주액티브,9725,10,-0.1,0,919,9450,0,175,NA,NA
마니커,463,1,-0.22,500,919,198473,1.75,914641,-4.82,-44.06
유성기업,3540,0,0,500,919,25948,13.92,92737,31.61,-1.75
영보화학,4590,30,0.66,500,918,20000,53.78,99751,21.55,1.94
KODEX TRF3070,11450,15,0.13,0,916,8000,0,92124,NA,NA
한국종합기술,8300,110,1.34,500,909,10950,1.91,50592,10.4,5.12
페이퍼코리아,2395,0,0,500,906,37836,0.54,217865,-24.44,1.18
TIGER 미국S&P500레버리지(합성 H),33510,510,1.55,0,905,2700,0,21332,NA,NA
제이준코스메틱,1290,5,-0.39,500,905,70127,2.4,352638,-2.79,-37.83
